date,close,actual lb,predicted lb,actual ub,predicted ub,actual ub close diff,predicted ub close diff,actual lb close diff,predicted lb close diff,predicted lb ub diff,predicted lb %,predicted ub %,invest,exit
2019-06-06,66.47000122070312,0.5324206219305088,0.7651854607962066,1.2322852739259047,1.237324242897838,15.44000244140625,15.774942715121739,31.080001831054688,15.608122707514987,0.16682000760675209,0.23481453920379336,0.23732424289783793,False,False
2019-06-07,65.69000244140625,0.5387425494650481,0.7625632250495593,1.246917348422554,1.2379742020013738,16.220001220703125,15.63252591046195,30.300003051757812,15.597222326174077,0.035303584287873946,0.2374367749504407,0.23797420200137376,False,False
2019-06-10,67.12000274658203,0.5272645700457843,0.7642524252837644,1.220351613681668,1.2288565523014494,14.79000091552733,15.36085241904658,31.730003356933594,15.823377862453789,-0.462525443407209,0.23574757471623564,0.2288565523014494,False,False
2019-06-11,67.87999725341797,0.5213612377962559,0.7570318889094284,1.2066883761988507,1.2116468826573197,14.030006408691406,14.36658981347334,32.489997863769524,16.49267471349615,-2.1260849000228106,0.2429681110905716,0.21164688265731968,False,False
2019-06-12,66.80999755859375,0.5297111313110089,0.7644859774720966,1.226014169365485,1.2242372741785288,15.10000610351564,14.981291740413226,31.419998168945312,15.734691270103824,-0.7533995296905971,0.23551402252790343,0.2242372741785288,False,False
2019-06-13,67.08000183105469,0.5275789866371864,0.7635897849359898,1.2210793295504825,1.2599093395580199,14.830001831054702,17.434718973460193,31.69000244140625,15.858397659373836,1.576321314086357,0.23641021506401017,0.25990933955801987,False,False
2019-06-14,67.4800033569336,0.5244516542545801,0.7595534304729885,1.2138411319994855,1.263418683337052,14.430000305175767,17.7754936358633,32.090003967285156,16.2253353188459,1.5501583170173987,0.2404465695270115,0.263418683337052,False,False
2019-06-17,66.54000091552734,0.5318605185259331,0.7696194695366201,1.2309889169688213,1.2660397050483683,15.370002746582031,17.70228221748505,31.150001525878906,15.329520707952973,2.3727615095320758,0.23038053046337992,0.26603970504836827,False,False
2019-06-18,67.9800033569336,0.5205942577529874,0.7635513562652664,1.2049132041379194,1.261975333045875,13.930000305175781,17.80908401989238,32.590003967285156,16.07377959482959,1.7353044250627931,0.23644864373473362,0.26197533304587495,False,False
2019-06-19,67.58999633789062,0.5235981847480731,0.7682903608843721,1.2118657804422903,1.2636064375287677,14.320007324218736,17.817158147213803,32.19999694824219,15.661253659279247,2.1559044879345564,0.23170963911562792,0.26360643752876767,False,False
2019-06-20,68.0999984741211,0.51967694834967,0.7672338977840737,1.202790095410006,1.265936345155502,13.810005187988281,18.110264699303016,32.709999084472656,15.851371205731695,2.258893493571321,0.2327661022159263,0.2659363451555019,False,False
2019-06-21,67.97000122070312,0.5206708658829466,0.7599864536722688,1.2050905133301697,1.2683536550572376,13.940002441406264,18.23999826182059,32.58000183105469,16.313721036881176,1.9262772249394118,0.2400135463277312,0.26835365505723763,False,False
2019-06-24,67.41000366210938,0.5249962537762162,0.7708147624897354,1.2151016052851862,1.3014928445089948,14.5,20.323633752451116,32.02000427246094,15.44937769986835,4.874256052582766,0.22918523751026465,0.30149284450899483,False,False
2019-06-25,66.54000091552734,0.5318605185259331,0.7808424371709861,1.2309889169688213,1.3043402037199145,15.370002746582031,20.25079743415489,31.150001525878906,14.582744431287324,5.668053002867566,0.21915756282901389,0.30434020371991455,False,False
2019-06-26,67.22000122070312,0.5264801955812618,0.7834680203108988,1.2185361823064331,1.3019088593137442,14.690002441406236,20.29431389161097,31.830001831054688,14.555279939022647,5.739033952588322,0.2165319796891012,0.3019088593137442,False,False
2019-06-27,68.1500015258789,0.5192956507302444,0.7600281362944825,1.2019075836851645,1.3006270221756995,13.760002136230483,20.487732019994354,32.76000213623047,16.35408287769902,4.133649142295333,0.23997186370551749,0.3006270221756995,False,False
2019-06-28,70.02999877929688,0.5053548480156601,0.7603065445420006,1.1696416548606967,1.285022080720732,11.880004882812486,19.96009596494551,34.63999938964844,16.785732393129145,3.1743635718163645,0.23969345545799936,0.285022080720732,False,False
2019-07-01,70.73999786376953,0.5002827319531757,0.7607570332531234,1.157902263721451,1.2838407406356191,11.17000579833983,20.07889338621446,35.349998474121094,16.924046956595937,3.154846429618523,0.23924296674687662,0.28384074063561915,False,False
2019-07-02,70.44000244140625,0.5024133753982578,0.7571740986326474,1.162833628948894,1.2912550451984495,11.47000122070314,20.516006094850667,35.05000305175781,17.104657085152994,3.4113490096976733,0.2428259013673526,0.29125504519844947,False,False
2019-07-03,70.8499984741211,0.4995060007316035,0.7621034458427535,1.1561045225996454,1.2883867763389691,11.060005187988281,20.432202663572667,35.459999084472656,16.85497049903958,3.5772321645330862,0.23789655415724653,0.28838677633896914,False,False
2019-07-05,71.4000015258789,0.4956582441643414,0.7603515594535648,1.1471989063252488,1.2715336429974786,10.510002136230469,19.387502524347425,36.01000213623047,17.11089902068997,2.276603503657455,0.2396484405464352,0.2715336429974786,False,False
2019-07-08,71.12999725341797,0.4975397266439211,0.7674273133758951,1.151553589553575,1.2781057783500014,10.78000640869142,19.781663250195265,35.73999786376953,16.542894560792618,3.2387686894026473,0.2325726866241049,0.2781057783500014,False,False
2019-07-09,71.55999755859375,0.4945500362918668,0.7691600239120537,1.144633963899188,1.27768024243794,10.35000610351564,19.870797470928707,36.16999816894531,16.518908125279275,3.3518893456494325,0.23083997608794626,0.2776802424379401,False,False
2019-07-10,71.12999725341797,0.4975397266439211,0.779960626368951,1.151553589553575,1.281215156654361,10.78000640869142,20.00283332044421,35.73999786376953,15.65140004202032,4.35143327842389,0.22003937363104897,0.28121515665436103,False,False
2019-07-11,71.61000061035156,0.4942047072756573,0.7978622152879903,1.1438347013541137,1.2881215281231597,10.300003051757812,20.632382804754897,36.220001220703125,14.475086886602128,6.157295918152769,0.20213778471200972,0.2881215281231597,False,False
2019-07-12,71.7699966430664,0.4931029823737272,0.7787060629300253,1.1412847637359138,1.2765473905241658,10.140007019042969,19.847805289568157,36.379997253417976,15.882265120643034,3.9655401689251235,0.2212939370699747,0.27654739052416577,False,False
2019-07-15,71.70999908447266,0.4935155465273381,0.7830557376577985,1.1422396417216707,1.2887849274531629,10.200004577636719,20.708766883275814,36.31999969482422,15.557072853940866,5.151694029334948,0.21694426234220154,0.28878492745316287,False,False
2019-07-16,71.31999969482422,0.4962142392187466,0.7914200324423405,1.1484857545232672,1.2917887296403028,10.590003967285156,20.810372108899543,35.93000030517578,14.875923222558718,5.9344488863408245,0.2085799675576595,0.2917887296403028,False,False
2019-07-17,70.81999969482422,0.4997175874350486,0.7840916958809336,1.156594239128409,1.2836415547298925,11.090003967285156,20.087494819410452,35.43000030517578,15.290626031822292,4.79686878758816,0.21590830411906636,0.2836415547298925,False,False
2019-07-18,71.79000091552734,0.4929655793052649,0.7852221680087922,1.1409667449160483,1.2807694200351718,10.120002746582017,20.156436921377065,36.400001525878906,15.418900755283786,4.737536166093278,0.2147778319912078,0.2807694200351718,False,False
2019-07-19,70.91999816894531,0.4990129766408416,0.775082821593674,1.1549634204302108,1.292724627694013,10.990005493164048,20.760030060064594,35.529998779296875,15.951125880740982,4.808904179323612,0.22491717840632597,0.292724627694013,False,False
2019-07-22,71.11000061035156,0.4976796383896624,0.7713845063125075,1.1518774146963746,1.322061833232179,10.800003051757812,22.901817157711193,35.720001220703125,16.256847895653415,6.644969262057778,0.22861549368749245,0.32206183323217896,False,False
2019-07-23,71.98999786376953,0.4915960611169735,0.7639461270372754,1.1377970008710376,1.3135937362403727,9.920005798339844,22.57561240203593,36.599998474121094,16.993517810321073,5.582094591714856,0.23605387296272462,0.3135937362403727,False,False
2019-07-24,73.01000213623047,0.4847280968929942,0.7575993112745346,1.1219011267698946,1.3011096320621856,8.900001525878906,21.984014880099735,37.62000274658203,17.69767480166996,4.286340078429774,0.24240068872546539,0.30110963206218555,False,False
